Species,Title,Institution,Study Title,Size (Mb),Library Name,Library Strategy,Library Source,Accession,Link
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: 1825_050,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,26.73,1825_050,RAD-Seq,GENOMIC,SRX7816939,https://www.ncbi.nlm.nih.gov/sra/SRX7816939[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: 1825_049,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,32.45,1825_049,RAD-Seq,GENOMIC,SRX7816938,https://www.ncbi.nlm.nih.gov/sra/SRX7816938[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: 1825_048,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,28.78,1825_048,RAD-Seq,GENOMIC,SRX7816937,https://www.ncbi.nlm.nih.gov/sra/SRX7816937[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: 1825_047,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,27.05,1825_047,RAD-Seq,GENOMIC,SRX7816936,https://www.ncbi.nlm.nih.gov/sra/SRX7816936[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: YY2150_235,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,26.51,YY2150_235,RAD-Seq,GENOMIC,SRX7816922,https://www.ncbi.nlm.nih.gov/sra/SRX7816922[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: YY2150_133,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,11.25,YY2150_133,RAD-Seq,GENOMIC,SRX7816921,https://www.ncbi.nlm.nih.gov/sra/SRX7816921[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: YY2150_132,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,50.61,YY2150_132,RAD-Seq,GENOMIC,SRX7816920,https://www.ncbi.nlm.nih.gov/sra/SRX7816920[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: MA2150_233,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,21.59,MA2150_233,RAD-Seq,GENOMIC,SRX7816914,https://www.ncbi.nlm.nih.gov/sra/SRX7816914[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: MA2150_232,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,33.26,MA2150_232,RAD-Seq,GENOMIC,SRX7816913,https://www.ncbi.nlm.nih.gov/sra/SRX7816913[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: MA2150_230,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,23.23,MA2150_230,RAD-Seq,GENOMIC,SRX7816912,https://www.ncbi.nlm.nih.gov/sra/SRX7816912[accn]
Deltochilum speciosissimum,ddRADseq of Deltochilum speciosissimum: MA2150_227,"University of Tennessee, Knoxville",Patterns of gene flow across elevation in Andean scarabs,31.8,MA2150_227,RAD-Seq,GENOMIC,SRX7816911,https://www.ncbi.nlm.nih.gov/sra/SRX7816911[accn]
