Species,Title,Institution,Study Title,Size (Mb),Library Name,Library Strategy,Library Source,Accession,Link 
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,72.12,Ot-M2-E-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212504,https://www.ncbi.nlm.nih.gov/sra/SRX32212504[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,123.25,Ot-M2-E-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212503,https://www.ncbi.nlm.nih.gov/sra/SRX32212503[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,158.52,Ot-F10-PH-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212502,https://www.ncbi.nlm.nih.gov/sra/SRX32212502[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,87.18,Ot-M2-AH-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212501,https://www.ncbi.nlm.nih.gov/sra/SRX32212501[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,7.56,Ot-M2-AH-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212500,https://www.ncbi.nlm.nih.gov/sra/SRX32212500[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,31.95,Ot-M2-AH-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212499,https://www.ncbi.nlm.nih.gov/sra/SRX32212499[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,35,Ot-M12-PH-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212498,https://www.ncbi.nlm.nih.gov/sra/SRX32212498[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,91.23,Ot-M12-PH-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212497,https://www.ncbi.nlm.nih.gov/sra/SRX32212497[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,55.08,Ot-M12-PH-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212496,https://www.ncbi.nlm.nih.gov/sra/SRX32212496[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,174.33,Ot-M12-PH-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212495,https://www.ncbi.nlm.nih.gov/sra/SRX32212495[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,66.83,Ot-M12-L-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212494,https://www.ncbi.nlm.nih.gov/sra/SRX32212494[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,61.23,Ot-F6-L-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212493,https://www.ncbi.nlm.nih.gov/sra/SRX32212493[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,105.76,Ot-F6-L-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212492,https://www.ncbi.nlm.nih.gov/sra/SRX32212492[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,75.67,Ot-F6-L-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212491,https://www.ncbi.nlm.nih.gov/sra/SRX32212491[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,106.85,Ot-F6-L-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212490,https://www.ncbi.nlm.nih.gov/sra/SRX32212490[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,25.05,Ot-F6-G-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212489,https://www.ncbi.nlm.nih.gov/sra/SRX32212489[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,49.63,Ot-F6-G-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212488,https://www.ncbi.nlm.nih.gov/sra/SRX32212488[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,46.17,Ot-F10-E-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212487,https://www.ncbi.nlm.nih.gov/sra/SRX32212487[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,31.27,Ot-F6-G-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212486,https://www.ncbi.nlm.nih.gov/sra/SRX32212486[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,170.1,Ot-F6-G-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212485,https://www.ncbi.nlm.nih.gov/sra/SRX32212485[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,23.46,Ot-F6-E-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212484,https://www.ncbi.nlm.nih.gov/sra/SRX32212484[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,44.99,Ot-F6-E-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212483,https://www.ncbi.nlm.nih.gov/sra/SRX32212483[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,28.8,Ot-F6-E-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212482,https://www.ncbi.nlm.nih.gov/sra/SRX32212482[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,207.83,Ot-F6-E-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212481,https://www.ncbi.nlm.nih.gov/sra/SRX32212481[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,63.68,Ot-F6-AH-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212480,https://www.ncbi.nlm.nih.gov/sra/SRX32212480[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,132.83,Ot-F6-AH-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212479,https://www.ncbi.nlm.nih.gov/sra/SRX32212479[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,82.13,Ot-F6-AH-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212478,https://www.ncbi.nlm.nih.gov/sra/SRX32212478[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,114.09,Ot-F6-AH-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212477,https://www.ncbi.nlm.nih.gov/sra/SRX32212477[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,162.45,Ot-F10-E-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212476,https://www.ncbi.nlm.nih.gov/sra/SRX32212476[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,52.63,Ot-F11-PH-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212475,https://www.ncbi.nlm.nih.gov/sra/SRX32212475[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,96.88,Ot-F11-PH-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212474,https://www.ncbi.nlm.nih.gov/sra/SRX32212474[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,66.65,Ot-F11-PH-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212473,https://www.ncbi.nlm.nih.gov/sra/SRX32212473[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,131.68,Ot-F11-PH-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212472,https://www.ncbi.nlm.nih.gov/sra/SRX32212472[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,16.33,Ot-F11-L-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212471,https://www.ncbi.nlm.nih.gov/sra/SRX32212471[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,36.18,Ot-F11-L-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212470,https://www.ncbi.nlm.nih.gov/sra/SRX32212470[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,24.43,Ot-F11-L-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212469,https://www.ncbi.nlm.nih.gov/sra/SRX32212469[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,173.31,Ot-F11-L-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212468,https://www.ncbi.nlm.nih.gov/sra/SRX32212468[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,46.5,Ot-F11-G-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212467,https://www.ncbi.nlm.nih.gov/sra/SRX32212467[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,98.54,Ot-F11-G-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212466,https://www.ncbi.nlm.nih.gov/sra/SRX32212466[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,36.67,Ot-F10-AH-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212465,https://www.ncbi.nlm.nih.gov/sra/SRX32212465[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,68.48,Ot-F11-G-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212464,https://www.ncbi.nlm.nih.gov/sra/SRX32212464[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,128.95,Ot-F11-G-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212463,https://www.ncbi.nlm.nih.gov/sra/SRX32212463[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,38.13,Ot-F11-E-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212462,https://www.ncbi.nlm.nih.gov/sra/SRX32212462[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,52.21,Ot-M12-L-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212461,https://www.ncbi.nlm.nih.gov/sra/SRX32212461[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,67.64,Ot-M12-L-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212460,https://www.ncbi.nlm.nih.gov/sra/SRX32212460[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,58.21,Ot-F10-L-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212459,https://www.ncbi.nlm.nih.gov/sra/SRX32212459[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,89.6,Ot-M12-L-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212458,https://www.ncbi.nlm.nih.gov/sra/SRX32212458[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,35.12,Ot-M12-G-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212457,https://www.ncbi.nlm.nih.gov/sra/SRX32212457[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,81.44,Ot-M12-G-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212456,https://www.ncbi.nlm.nih.gov/sra/SRX32212456[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,54.15,Ot-M12-G-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212455,https://www.ncbi.nlm.nih.gov/sra/SRX32212455[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,151.75,Ot-M12-G-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212454,https://www.ncbi.nlm.nih.gov/sra/SRX32212454[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,50.83,Ot-M12-E-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212453,https://www.ncbi.nlm.nih.gov/sra/SRX32212453[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,88.28,Ot-M12-E-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212452,https://www.ncbi.nlm.nih.gov/sra/SRX32212452[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,55.76,Ot-M12-E-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212451,https://www.ncbi.nlm.nih.gov/sra/SRX32212451[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,115.58,Ot-M12-E-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212450,https://www.ncbi.nlm.nih.gov/sra/SRX32212450[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,57.88,Ot-M12-AH-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212449,https://www.ncbi.nlm.nih.gov/sra/SRX32212449[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,125.83,Ot-F10-L-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212448,https://www.ncbi.nlm.nih.gov/sra/SRX32212448[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,92.54,Ot-M12-AH-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212447,https://www.ncbi.nlm.nih.gov/sra/SRX32212447[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,59.99,Ot-M12-AH-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212446,https://www.ncbi.nlm.nih.gov/sra/SRX32212446[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,96.12,Ot-M12-AH-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212445,https://www.ncbi.nlm.nih.gov/sra/SRX32212445[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,69.19,Ot-M11-PH-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212444,https://www.ncbi.nlm.nih.gov/sra/SRX32212444[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,119.08,Ot-M11-PH-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212443,https://www.ncbi.nlm.nih.gov/sra/SRX32212443[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,74.94,Ot-M11-PH-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212442,https://www.ncbi.nlm.nih.gov/sra/SRX32212442[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,97.93,Ot-M11-PH-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212441,https://www.ncbi.nlm.nih.gov/sra/SRX32212441[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,40.27,Ot-M11-L-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212440,https://www.ncbi.nlm.nih.gov/sra/SRX32212440[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,73.43,Ot-M11-L-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212439,https://www.ncbi.nlm.nih.gov/sra/SRX32212439[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,46.88,Ot-M11-L-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212438,https://www.ncbi.nlm.nih.gov/sra/SRX32212438[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,84.26,Ot-F10-L-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212437,https://www.ncbi.nlm.nih.gov/sra/SRX32212437[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,154.65,Ot-M11-L-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212436,https://www.ncbi.nlm.nih.gov/sra/SRX32212436[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,73.55,Ot-M11-G-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212435,https://www.ncbi.nlm.nih.gov/sra/SRX32212435[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,27.67,Ot-M11-G-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212434,https://www.ncbi.nlm.nih.gov/sra/SRX32212434[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,42.02,Ot-M11-G-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212433,https://www.ncbi.nlm.nih.gov/sra/SRX32212433[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,98.72,Ot-M11-G-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212432,https://www.ncbi.nlm.nih.gov/sra/SRX32212432[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,30.77,Ot-M11-E-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212431,https://www.ncbi.nlm.nih.gov/sra/SRX32212431[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,58.36,Ot-M11-E-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212430,https://www.ncbi.nlm.nih.gov/sra/SRX32212430[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,135.74,Ot-M7-L-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212429,https://www.ncbi.nlm.nih.gov/sra/SRX32212429[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,35.68,Ot-M7-L-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212428,https://www.ncbi.nlm.nih.gov/sra/SRX32212428[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,28.96,Ot-M7-G-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212427,https://www.ncbi.nlm.nih.gov/sra/SRX32212427[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,68.6,Ot-M7-G-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212426,https://www.ncbi.nlm.nih.gov/sra/SRX32212426[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,42.44,Ot-M7-G-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212425,https://www.ncbi.nlm.nih.gov/sra/SRX32212425[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,155.81,Ot-M7-G-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212424,https://www.ncbi.nlm.nih.gov/sra/SRX32212424[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,47.52,Ot-M7-E-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212423,https://www.ncbi.nlm.nih.gov/sra/SRX32212423[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,33.26,Ot-M7-E-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212422,https://www.ncbi.nlm.nih.gov/sra/SRX32212422[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,161.73,Ot-M7-E-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212421,https://www.ncbi.nlm.nih.gov/sra/SRX32212421[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,23.1,Ot-M7-E-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212420,https://www.ncbi.nlm.nih.gov/sra/SRX32212420[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,146.38,Ot-F11-AH-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212419,https://www.ncbi.nlm.nih.gov/sra/SRX32212419[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,35.19,Ot-F10-AH-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212418,https://www.ncbi.nlm.nih.gov/sra/SRX32212418[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,39.59,Ot-M7-AH-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212417,https://www.ncbi.nlm.nih.gov/sra/SRX32212417[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,72.4,Ot-M7-AH-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212416,https://www.ncbi.nlm.nih.gov/sra/SRX32212416[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,45.74,Ot-M7-AH-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212415,https://www.ncbi.nlm.nih.gov/sra/SRX32212415[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,151.12,Ot-M7-AH-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212414,https://www.ncbi.nlm.nih.gov/sra/SRX32212414[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,37.43,Ot-M4-PH-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212413,https://www.ncbi.nlm.nih.gov/sra/SRX32212413[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,67.71,Ot-M4-PH-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212412,https://www.ncbi.nlm.nih.gov/sra/SRX32212412[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,41.25,Ot-M4-PH-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212411,https://www.ncbi.nlm.nih.gov/sra/SRX32212411[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,142.05,Ot-M4-PH-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212410,https://www.ncbi.nlm.nih.gov/sra/SRX32212410[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,53.35,Ot-M4-L-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212409,https://www.ncbi.nlm.nih.gov/sra/SRX32212409[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,2.18,Ot-M4-L-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212408,https://www.ncbi.nlm.nih.gov/sra/SRX32212408[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,33.05,Ot-F10-PH-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212407,https://www.ncbi.nlm.nih.gov/sra/SRX32212407[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,27.77,Ot-M4-L-run2,RNA-Seq,TRANSCRIPTOMIC,SRX32212406,https://www.ncbi.nlm.nih.gov/sra/SRX32212406[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,105.44,Ot-M4-L-run1,RNA-Seq,TRANSCRIPTOMIC,SRX32212405,https://www.ncbi.nlm.nih.gov/sra/SRX32212405[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,15.89,Ot-M4-G-run4,RNA-Seq,TRANSCRIPTOMIC,SRX32212404,https://www.ncbi.nlm.nih.gov/sra/SRX32212404[accn]
Onthophagus taurus,Onthophagus taurus epithelial tissue,Indiana University,Onthophagus taurus tissue-specific bulk RNA-seq,41.96,Ot-M4-G-run3,RNA-Seq,TRANSCRIPTOMIC,SRX32212403,https://www.ncbi.nlm.nih.gov/sra/SRX32212403[accn]
